Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage,data_source,Company Name,Tags,Location,Investors,Website,Founded Year,Address,Lat,Long,Company Size,Tech stack,Marketing Stack,Design Stack,Product Stack
,Hospitality,Daojia,,,,,,,,"$1,000,000","Jan  1, 2012","$15,000,000","Sep  2, 2013","$50,000,000","Sep 16, 2014",-,GitHub_funding,,,,,,,,,,,,,,
,-,Visiprise,,,,,,,,"$32,000,000","Oct 17, 2005",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Persystent-Technologies,"$2,800,000","Aug 31, 2010",,,,,,"$7,000,000","Aug  8, 2005","$11,600,000","Apr 17, 2008","$2,900,000","Dec  3, 2009",Series B,GitHub_funding,,,,,,,,,,,,,,
,Messaging,Scalix,,,,,,,,"$6,000,000","Jan 10, 2006",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Kobalt empowers artists, songwriters, publishers and labels with innovative technology, transparency, flexibility, ownership and control. The future of music made simple.",-,Kobalt,"$16,000,000","Feb  6, 2008",,,,,,,,"$60,000,000","Feb 26, 2015",,,Series D,GitHub_funding,,,,,,,,,,,,,,
,Games,VeriSilicon-Holdings,"$22,300,000","Jul  2, 2014",,,,,,"$13,500,000","Aug  1, 2005","$14,800,000","Jul  5, 2006","$20,000,000","Nov  6, 2007",-,GitHub_funding,,,,,,,,,,,,,,
,-,NTRglobal,,,,,,,,,,"$34,000,000","Jun  1, 2008",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"We’re bringing spatial computing to everyday life.The next revolution in technology is going to be about breaking through our screens and interacting with the physical world. At Occipital, we’re building not only the core computer vision engine to power this wave, but many of the consumer applications that show the world what’s possible too. We started with RedLaser, the massively popular price comparison app (acquired by eBay in 2010). Next, we built 360 Panorama, one of the first successful panoramic photo apps. 18 months ago, we unveiled our newest initiative: Structure Sensor, the world’s first and only 3D sensor for the iPad, and the associated Structure SDK.… · More Already, Structure is disrupting industries as diverse as medical care and VFX, and we’re only in the first inning.Structure Sensor:  http://structure.io360 Panorama:  https://itunes.apple.com/us/app/360-panorama/id377342622?RedLaser:  https://itunes.apple.com/us/app/redlaser-barcode-scanner-shopping/id474902001?",,Occipital,,,Bringing spatial computing to everyday life,"$15,000","May  1, 2008","$7,000,000","Aug 10, 2011","$13,000,000","Jul 29, 2015",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Web Hosting,PEAK-Surgical,,,"Precision dissection electrosurgical devices, without the thermal damage.",,,,,"$8,000,000","Sep 18, 2006","$21,000,000","Feb  4, 2008",,,Series D,GitHub_funding,,,,,,,,,,,,,,
,Consumer Lending,Typesafe,,,,,,"$3,000,000","May 12, 2011","$14,000,000","Aug 22, 2012",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,-,Mobango,Unknown,"Jan 10, 2007",,,,,,"$5,700,000","Mar 31, 2008",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Artificial Intelligence,Threadsy,,,,,,"$3,300,000","Mar 27, 2008","$3,000,000","Dec  7, 2010",,,,,Seed,GitHub_funding,,,,,,,,,,,,,,
[pbn-page-posts cat_id=6 qty=1] [pbn-page-posts cat_id=5 qty=1] [pbn-page-posts cat_id=7 qty=1] [pbn-page-posts cat_id=3,Fraud Detection,Townhog,"$500,000","May  1, 2011",,,,,,"$1,500,000","Sep  1, 2010",,,,,Seed,GitHub_funding,,,,,,,,,,,,,,
,-,adeven,,,,,,Unknown,"Apr  1, 2012","$4,300,000","Jun 20, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Promosome,,,,,,,,"$9,600,000","Oct 27, 2008","$4,099,999","Jan 25, 2011",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Travel,Kumu-Networks,,,,,,"$5,400,000","Sep 24, 2012","$15,000,000","Oct 31, 2013",,,,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Manufacturing,Wright-Therapy-Products,"$787,200","Nov  8, 2013",,,,"$1,100,000","Jul 27, 2011","$3,000,000","Dec  7, 2012",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Software,Ciespace,,,,,,"$4,000,000","Aug 10, 2010","$1,000,000","Jan  4, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Green Mountain Digital is the maker of Yonder, a free iPhone (Android coming soon) app to help people share and discover the outdoors.  Backpacker Magazine described Yonder as, ""if Instagram and Foursquare met in an REI, and fell in love Yonder would be the offspring.""  Yonder uses geolocation and users interactions to suggest people, places and experiences in the great outdoors.  Yonder address the nearly 600 billion dollar consumer spend on outdoor recreation by providing an indispensable tool for like minded users to interact and engage with the people, places, organizations and brands that inspire and enable their recreational pursuits.",Android,Green-Mountain-Digital,"$1,000,000","Dec 31, 2014",Discover the Outdoors,,,"$3,425,000","Sep 30, 2010","$3,800,000","Aug  6, 2013",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Enterprise Software,Izea,"$12,000,000","Feb 12, 2014",,,,"$3,000,000","Oct  1, 2006","$7,000,000","Jun  2, 2007",,,,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Open Source,Arkeia-Software,,,,,,,,"$4,099,999","Jul 16, 2007",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Wireless,Xagenic,,,,,,"$10,000,000","Jan 30, 2012","$25,500,000","Jul 14, 2014",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Video,MeeVee,,,,,,"$7,000,000","Feb  1, 2005","$6,500,000","Feb  1, 2006","$8,000,000","Aug  1, 2006","$3,500,000","Sep  1, 2007",Series A,GitHub_funding,,,,,,,,,,,,,,
,PaaS,MinuteKey,"$10,600,000","Sep 29, 2011",,,,"$3,600,000","Nov 30, 2010","$10,000,000","Oct  4, 2012",,,,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Music,Musicshake,,,,,,"$1,000,000","Aug  1, 2006","$2,500,000","Sep  1, 2007",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,-,AwoX,,,,,,,,,,"$5,070,000","Nov 17, 2008",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"500friends is the trusted provider of next generation loyalty marketing solutions to over 40 of the Internet Retailer 1,000 brands.",,500friends,,,Enabling retailers to increase customer LTV,"$1,400,000","Dec 15, 2009","$4,500,000","Mar 14, 2012","$6,250,000","Mar 12, 2013",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Marketing Automation,Adaptive-TCR,,,,,,"$4,550,000","Mar 26, 2010","$5,800,000","Jun 10, 2011",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Sales Automation,SmartZip,"$4,500,000","Apr 19, 2010",,,,"$2,050,000","Mar 10, 2009","$12,000,000","Jul 23, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Mobile,Jump-Ramp-Games,,,,,,,,"$3,000,000","Oct 23, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,-,Act-on-Software,"$42,000,000","Apr 15, 2014",,,,,,"$4,000,000","Nov 15, 2010","$10,000,000","Jun  1, 2011","$16,000,000","Sep  5, 2012",Series C,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Aires-Pharmaceuticals,,,,,,,,"$20,000,000","Nov 11, 2010",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Credit Cards,OfferWire,,,,,,,,,,"$3,500,000","Jun  4, 2009",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Software,CyberCity-3D,,,,,,"$6,300,000","Dec  3, 2008","$1,000,000","Aug  7, 2011",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
"Our apps– SocialCompass and SocialCentiv – recreates 1-to-1 marketing on a mass scale to help businesses of all sizes actively reach, engage and reward consumers based on their expressed need for a product or service, the time of day and location. The two products are similar, but whereas SocialCompass provides a turnkey, in-house managed service for clients, SocialCentiv offers small-to-medium-sized businesses (SMBs) do-it-yourself software.",Sales Automation,Hiplogiq,,,"1-to-1 marketing on a mass scale to help SMBs actively reach, engage and reward consumers",,,"$5,000,000","May  1, 2013","$7,000,000","Nov 18, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"InVision is the world’s leading design collaboration platform.We enable companies of all sizes to discover the power of design-driven product development.  That’s why designers, product managers, marketers and other stakeholders at so many of the world's most beloved startups, agencies and corporations use InVision every day, including Zappos, Evernote, AirBnB, and Yammer.Built to foster collaboration and iteration, InVision helps our clients design, review and user-test a product before writing a single line of code, with tools for design prototyping, feedback, task management and version control.We’re well-funded and venture-backed by… · More prominent investors including FirstMark Capital and Tiger Global Management.",Software,InVision,"$11,600,000","Oct 18, 2013",The world\u2019s leading design collaboration platform,"$1,500,000","Dec 19, 2012",,,"$21,000,000","Jul 25, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Mobile,POPSUGAR,"$15,000,000","Apr 12, 2011",,,,"$5,000,000","Oct  1, 2006","$10,000,000","Jun  1, 2007","$16,000,000","Jun  1, 2009",,,-,GitHub_funding,,,,,,,,,,,,,,
"Lucid enables the future of intelligent buildings by connecting hardware, software, and people through one collaborative interface. BuildingOS, the operating system for commercial buildings, brings all metering and building systems online, giving entire organizations a single point of access to optimize energy costs, comfort, and productivity. The intuitive suite of BuildingOS applications connects operations, finance, and sustainability professionals to the building technologies and workforce they rely on every day, empowering them in building management, planning, and tenant engagement. ",Hardware + Software,Lucid,,,Revolutionizing buildings with software,,,"$1,500,000","Jan 21, 2014","$8,200,000","Jun 12, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
"Online appointment scheduling by TimeTrade is used by businesses to create new sales prospects, accelerate the sales and service process, and make it easy and fast to interact with customers.",Email Marketing,TimeTrade-Systems,,,,"$1,722,500","Jan  6, 2010","$5,600,000","Sep 24, 2010",,,"$5,000,000","Sep 24, 2007",,,-,GitHub_funding,,,,,,,,,,,,,,
,Health Care,Verdasys,"$75,000","Jul 16, 2012",Advanced endpoint data protection solutions,,,,,"$7,200,000","Sep  1, 2004","$15,000,000","Apr 12, 2011","$12,000,000","Mar 19, 2014",Series B,GitHub_funding,,,,,,,,,,,,,,
"Terrafugia is strategically reducing the risk associated with investing in flying cars.Our first product, the Terrafugia Transition, makes personal aviation accessible and useful to a much larger fraction of the population and grows the flying car niche as quickly as possible -- establishing Terrafugia as the clear brand and thought leader.The eventual goal is TF-X, an electric, vertical takeoff and landing, computer controlled vehicle capable of safely transporting an operator with less than 5 hours of training at speeds of over 200 mph -- disrupting the trillion dollar personal transportation space.Terrafugia is involved with the writing of… · More international standards that will be used as certification bases for this type of vehicle all around the world.We will be the logical acquisition target for the big guys.",MMO Games,Terrafugia,"$1,000,000","May 25, 2012",First practical flying car -- a new dimension of personal freedom,"$258,312","Jan  4, 2007","$1,531,320","Nov 11, 2008","$2,180,000","May  4, 2010","$1,887,590","Dec 17, 2010","$2,600,000","Nov 16, 2012",Series A,GitHub_funding,,,,,,,,,,,,,,
,Semiconductors,Nethra-Imaging,,,,,,,,,,"$14,000,000","Nov  3, 2006",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Health Care,Zipline-Medical,"$1,000,000","Dec 21, 2009",,,,,,"$5,000,000","Apr 10, 2012","$4,300,000","Jan 21, 2014",,,Series B,GitHub_funding,,,,,,,,,,,,,,
N-Channel MOSFET Transistor technology delivers half the gate charge for the same resistance so that designers can achieve 90% power-supply efficiencies with double the frequency.,Mobile,Ciclon-Semiconductor-Device,"$150,000","Aug  2, 2005",,,,"$12,000,000","Oct 26, 2005","$12,000,000","Mar  7, 2007",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,iPhone,Boxtone,"$4,000,000","Mar 28, 2012",,,,,,"$7,500,000","Aug  4, 2010",,,,,-,GitHub_funding,,,,,,,,,,,,,,
">> Investment Information Available: http://busyevent.com/InvestmentOpportunity.pdfBusyEvent Mobile - The App That Builds Event Apps - is a suite of iOS, Android and web tools that event producers use to make their tradeshows and conferences easier to manage, more social and engaging and much more profitable to produce.By providing an inflight data recorder of every action that occurs before, during and even after an event, BusyEvent Mobile monetizes the detailed digital trail of every event participant.   This highly valuable data is made available to… · More exhibitors, speakers, sponsors and others through the sale of a DataKey, which unlocks the hidden opportunities and profitability inside any event.",Big Data,BusyEvent-Mobile,"$320,000","Feb 27, 2013",Mobile event apps that create new revenue and access to BIG DATA!,"$950,000","Jun  1, 2013",,,"$295,000","Jan 22, 2014",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Power Sports,VeriVue,,,,,,"$25,000,000","Apr 30, 2007","$40,000,000","Jul  1, 2008","$20,000,000","Sep  9, 2009",,,Series D,GitHub_funding,,,,,,,,,,,,,,
,Web Hosting,Teraco-Data-Environments,,,Vendor Neutral Data Centers,,,,,"$6,030,000","Jul 13, 2009",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Fast-Lane-Ventures,"$13,000,000","Dec  6, 2012",,,,,,,,"$18,000,000","Apr 25, 2012",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Computers,Sipera-Systems,"$10,230,000","May 18, 2010",,,,"$6,300,000","Feb  4, 2005","$13,200,000","Mar 15, 2006","$10,000,000","Oct  4, 2007",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Advertising,Baronova,,,,,,"$6,500,000","Jan  1, 2006","$7,500,000","Oct 23, 2008","$27,300,000","Feb 15, 2013",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Security,Acendi-Interactive,,,,,,,,"$2,100,000","Jan  9, 2009",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Drawbridge is a collection of super smart folks building technology that helps brands have seamless conversations with consumers. We’re revolutionaries. We’re visionaries. And we’ve built a company that gives brands new ways to intersect the consumer journey at every stage of the purchase path – from research to sale – no matter what device they’re on. When we deliver the right message to the right person on the right device at the exact right moment, we’re making a strong connection between a brand and a person. After all, what’s a journey without a destination?",Mobile,Drawbridge,,,Cross-Device Advertising,,,"$6,500,000","May 11, 2012","$14,000,000","Feb 21, 2013",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,,Peel,,,,,,,,"$16,700,000","May  2, 2011","$20,000,000","Apr  5, 2013",,,,GitHub_funding,,,,,,,,,,,,,,
"Asana’s mission is to empower humanity to do great things. We've re-imagined how work gets done through a fast and versatile web application that connects everyone with what’s going on, their shared priorities, and who owns each part of the effort.We are engineering, design, and business leaders from the best of both enterprise and consumer internet companies. We are backed by Benchmark Capital, Andreessen-Horowitz, Founders Fund, Peter Thiel and an experienced team of advisors.",,Asana,,,The best place to track work with your team,"$1,200,000","Apr  1, 2009","$9,000,000","Nov 24, 2009","$28,000,000","Jul 23, 2012",,,,,,GitHub_funding,,,,,,,,,,,,,,
Moat's proprietary ad search engine has become a ubiquitous tool for the display ad industry. Moat makes it easy to find what and where ads are running for the top brands and sites.Moat Analytics is changing the way we understand display advertising for brand marketers by creating a new standard for how we measure consumer attention.,Curated Web,Moat,,,,"$1,500,000","Aug 23, 2011",,,"$12,000,000","Apr 23, 2012",,,,,Series C,GitHub_funding,,,,,,,,,,,,,,
,High Schools,Retrevo,,,,"$700,000","Feb  1, 2006","$3,200,000","Dec  1, 2006","$8,000,000","Mar 20, 2008",,,,,Series C,GitHub_funding,,,,,,,,,,,,,,
Take advantage of market leading anti-piracy protection for publishers and authors.,Wireless,Attributor,,,,,,"$2,000,000","Jan 28, 2006","$8,000,000","Dec 18, 2006","$12,000,000","Apr  2, 2008","$3,200,000","Jun 10, 2010",Series B,GitHub_funding,,,,,,,,,,,,,,
,M2M,WooMe,,,,"$1,900,000","Apr  1, 2007","$3,000,000","Feb  7, 2008","$12,500,000","Jun 12, 2008",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Security,Avenda-Systems,,,,,,,,"$5,000,000","Mar 15, 2008",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Price Comparison,Pivot,"$100,000","May 25, 2012",,,,"$5,000,000","Dec  1, 2004","$8,000,000","Apr  1, 2006",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Data Security,Xytis,,,,,,,,"$24,500,000","Jan  9, 2006",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"STENTYS offers simple, innovative solutions to interventional cardiologists for treating patients with challenging conditions such as a heart attack (acute myocardial infarction or AMI).",Enterprise Software,Stentys,,,Availability of affordable medical devices,,,"$18,000,000","Mar 19, 2008","$22,200,000","Jul 13, 2009",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Paydiant's cloud-based, white label mobile wallet and payment solution enables banks, retailers, and processors to deploy a branded contactless mobile wallet, mobile payment and cash access platform without involving new intermediaries, while preserving the opportunity to create new revenue streams from highly targeted mobile ads and offers.",Messaging,Paydiant,,,"Cloud-based, white label mobile wallet and payment solution.",,,"$7,600,000","Feb 22, 2011","$12,000,000","Jul  9, 2012","$15,000,000","Sep  9, 2013",,,-,GitHub_funding,,,,,,,,,,,,,,
"The Solution for Driver Safety, Productivity and Fleet Fuel Management. DriveCam reduces collision-related expenses and increases fleet management efficiencies.",Vacation Rentals,DriveCam,"$4,000,000","Dec  2, 2009",,,,,,"$18,000,000","Jun 22, 2005","$28,000,000","Mar  1, 2007","$19,000,000","Aug 12, 2009",Series B,GitHub_funding,,,,,,,,,,,,,,
